genes,Unnamed: 0,values
ADCY3,754.0,14.3903313
PRKAA2,369.0,8.18405675
ALDH3A1,840.0,6.037386209999999
ADCY9,937.0,5.515874216
CALML3,196.0,5.04311064
COL1A1,427.0,4.992207912
CHEK1,643.0,4.4284837744
PLA2G4E,57.0,4.419870496
COL6A3,886.0,4.144577114
FBP1,126.0,4.131888266000001
FN1,68.0,3.7525847728
CD3D,949.0,3.6788105904
MIOX,659.0,3.652826092
WNT3A,428.0,3.595914714
STXBP1,198.0,3.4071183859999996
FGF22,964.0,3.1667159240000005
KITLG,694.0,3.101901406
IRS1,730.0,3.0381953200000003
PIK3CG,357.0,2.909138498
NDUFS8,723.0,2.831752458
FGF10,319.0,2.791195424
PDGFC,209.0,2.735033572
ARSB,54.0,2.686744295
FADS2,621.0,2.6331539939999997
WNT6,351.0,2.5954143
TNPO1,93.0,2.5951114459999998
COL4A4,439.0,2.549508368
NCK1,633.0,2.535432538
TXNRD1,767.0,2.502273848
NDUFB10,120.0,2.4788582319999994
MME,224.0,2.4606249700000005
ACVR1,842.0,2.41990883
STX2,94.0,2.3652825388
FMO3,654.0,2.304324054
APC,667.0,2.288861592
IPO7,805.0,2.250578446
IBSP,424.0,2.2368455259999998
PABPC4L,296.0,2.23273874
GNB4,390.0,2.2264972320000003
ZNF845,830.0,2.1160934768
SLC25A6,193.0,2.100438292
ZSCAN32,303.0,2.0830519780000003
IL3RA,594.0,2.056179996
EME1,419.0,2.0465560579999997
CCNA2,941.0,2.00816383
TTC37,26.0,1.9990135626
GPX8,521.0,1.9966571180000003
PIGQ,297.0,1.99024586
LDHC,114.0,1.9873309120000002
ZNF283,828.0,1.96618215128
NDUFS7,324.0,1.924416604
ZNF492,184.0,1.9119528228
STX17,532.0,1.906053378
MAP3K8,804.0,1.8843913280000002
GNGT1,541.0,1.858384832
AK7,543.0,1.849352314
EXOSC7,977.0,1.8418975629999998
NEFM,443.0,1.8380434008000002
B4GALT7,820.0,1.8272141959999995
ATP6V1B1,413.0,1.8179598680000002
LAMC1,372.0,1.815470054
EZH2,491.0,1.7948102140000004
ME1,313.0,1.7937717100000001
NDUFA7,490.0,1.7444923514
PPP2R2C,793.0,1.7417616542
PHKB,440.0,1.7307888431999998
SYNJ1,818.0,1.7287829980000002
SLIT2,174.0,1.7271726511999996
PLCG1,957.0,1.71518038
KCNN4,355.0,1.7066556
ENPP2,963.0,1.7018503204000002
CNOT4,577.0,1.6936368429600002
HNMT,960.0,1.6875760471999999
SV2A,972.0,1.6816529199999999
FGFR1,348.0,1.674909298
ERCC4,266.0,1.6622525070999998
FECH,308.0,1.6602646617999999
SERPIND1,457.0,1.651970452
NPAS2,400.0,1.6443029904
ENPP6,102.0,1.617731054
COL23A1,739.0,1.616203801
CLDN6,175.0,1.588037202
ZNF490,48.0,1.587425706
GALNT15,210.0,1.5812144240000001
FMO2,445.0,1.5770792959999997
AASS,740.0,1.5626527270000001
CLDN8,817.0,1.548149018
CLDN5,141.0,1.5400112606
NUP160,999.0,1.53217057
THPO,522.0,1.5207327720000001
IPMK,875.0,1.51769926
GALNT4,241.0,1.514094878
ARNTL,229.0,1.4971681449999998
ZNF92,335.0,1.4941907929
DIO2,706.0,1.49388349396
ARHGDIB,738.0,1.4922964752
TH,666.0,1.4817456359999999
EXTL1,989.0,1.4747479376000001
PLA2G2F,37.0,1.473923694
EFNB3,265.0,1.4702542216
SLC17A7,11.0,1.461704058
AQP5,538.0,1.4603771220000001
ZNF460,901.0,1.455535666
SULT2A1,221.0,1.41185302
ZNF23,679.0,1.406173199
FMO4,389.0,1.391103326
CD1A,665.0,1.390282983
ARHGAP35,430.0,1.371373204
B4GALNT1,576.0,1.369427312
KRT18,881.0,1.348394026
PIKFYVE,104.0,1.3372799419999999
LSM7,854.0,1.3363443099999999
TRRAP,304.0,1.3353870568000001
PFKFB2,894.0,1.3018572339999999
RPS3,496.0,1.287056846
DPM3,472.0,1.276271678
ATP6V0A4,578.0,1.268608224
BOC,118.0,1.2652606719999997
CDON,897.0,1.2565927752000001
NCF4,371.0,1.253804218
FLNC,608.0,1.243607116
SAT2,779.0,1.2328328692000001
DOCK4,244.0,1.2325005132
ABCA13,791.0,1.230558708
AGPAT4,139.0,1.2239589892000002
NPNT,641.0,1.207966678
MAP3K2,320.0,1.204862004
LTB4R2,719.0,1.175782768
ROCK1,248.0,1.1688756740000001
ASH1L,745.0,1.1671698776
HBS1L,332.0,1.165301194
GDF6,974.0,1.16265321
JUND,270.0,1.153846918
NTRK2,464.0,1.150831472
B3GAT1,433.0,1.14306979198
PPAT,182.0,1.1302998141999998
NME7,562.0,1.1278962080000001
NANP,869.0,1.117707382
POLA1,584.0,1.1146665758
GSPT2,199.0,1.1068945343999999
NUP188,799.0,1.0979748580000002
RPL31,879.0,1.089249167
SLC1A7,623.0,1.07977626
