genes,Unnamed: 0,values
hsa-mir-548y,37.0,1.5990646262000001
hsa-mir-199b,52.0,0.9329917059999999
hsa-mir-133b,56.0,0.8428176763999999
hsa-mir-4691,50.0,0.8405620767999998
hsa-mir-577,69.0,0.796332158
hsa-mir-494,66.0,0.6659318639999999
hsa-mir-615,80.0,0.640335554
hsa-mir-432,91.0,0.5839860835999999
hsa-mir-455,15.0,0.5662199736
hsa-mir-665,88.0,0.5620669620000001
hsa-mir-4524a,58.0,0.539081374
hsa-mir-4733,61.0,0.527017306
hsa-mir-377,70.0,0.496728668
hsa-mir-658,44.0,0.47511048660000005
hsa-mir-1260b,10.0,0.46957867059999997
hsa-mir-487a,60.0,0.454712066
hsa-mir-506,36.0,0.4064665679999999
hsa-mir-380,28.0,0.4027274566
hsa-mir-152,81.0,0.38389595
hsa-mir-485,72.0,0.31457743320000003
hsa-mir-3143,2.0,0.2821680936
hsa-mir-125b-2,53.0,0.28175308699999996
hsa-mir-3667,17.0,0.2742184326
hsa-mir-431,82.0,0.24601262000000004
hsa-mir-299,62.0,0.2249474894
hsa-mir-127,21.0,0.22109431859999998
hsa-mir-4454,47.0,0.19282259139999997
hsa-mir-1185-2,42.0,0.17907345130000002
hsa-mir-466,14.0,0.130028608714
hsa-mir-154,30.0,0.12836333399999997
hsa-let-7c,4.0,0.128334241
hsa-mir-3943,25.0,0.11339235899999997
hsa-mir-1295a,68.0,0.10491875140000002
hsa-mir-551a,87.0,0.10467326480000001
hsa-mir-379,43.0,0.09492578400000003
hsa-mir-1911,38.0,0.09271245928
hsa-mir-889,51.0,0.08566949600000001
hsa-mir-3144,29.0,0.06352228639999999
hsa-mir-758,16.0,0.06322310449999999
hsa-mir-137,5.0,0.06309197999999999
hsa-mir-337,32.0,0.059883702
hsa-mir-1305,45.0,0.05267615800000001
hsa-mir-584,48.0,0.03974664800000003
hsa-mir-1237,54.0,0.01560583414
hsa-mir-95,20.0,0.012384751199999999
hsa-mir-3150a,85.0,0.010802285779999999
hsa-mir-4424,12.0,0.004686525200000002
hsa-mir-3622a,65.0,-0.0024363864399999996
hsa-mir-873,98.0,-0.007155653600000011
hsa-mir-5193,23.0,-0.00885987542
hsa-mir-5090,7.0,-0.021124258126000002
hsa-mir-345,93.0,-0.023395729999999993
hsa-mir-216b,22.0,-0.025177247859999995
hsa-mir-612,11.0,-0.028884957999999995
hsa-mir-655,27.0,-0.0289019468
hsa-mir-4707,6.0,-0.031631342400000005
hsa-mir-935,1.0,-0.033063348000000034
hsa-mir-3140,86.0,-0.05096417199999999
hsa-mir-1269a,55.0,-0.05181644480000001
hsa-mir-5699,97.0,-0.060451755600000025
hsa-mir-487b,96.0,-0.06468718040000003
hsa-mir-4449,31.0,-0.0761756276
hsa-mir-1245a,71.0,-0.10585218380000001
hsa-mir-409,41.0,-0.12447121399999998
hsa-mir-543,3.0,-0.12600876643999998
hsa-mir-3117,24.0,-0.13397887619999999
hsa-mir-489,79.0,-0.1699898588
hsa-mir-370,9.0,-0.19568165474000004
hsa-mir-513c,75.0,-0.20101953200000003
hsa-mir-493,89.0,-0.20126581140000002
hsa-mir-1185-1,77.0,-0.20817985519999999
hsa-mir-1294,46.0,-0.227607436
hsa-mir-548l,57.0,-0.23865394
hsa-mir-4521,39.0,-0.24938513600000006
hsa-mir-125b-1,0.0,-0.26261557080000003
hsa-mir-4423,99.0,-0.26498603887999994
hsa-mir-4742,74.0,-0.29464208354
hsa-mir-5001,8.0,-0.299865739992
hsa-mir-134,49.0,-0.3007570816
hsa-mir-4685,19.0,-0.3066819162
hsa-mir-143,18.0,-0.33568874280000005
hsa-mir-539,67.0,-0.35461346439999997
hsa-mir-4802,83.0,-0.39302304360000007
hsa-mir-495,78.0,-0.40632103564
hsa-mir-641,76.0,-0.413936673
hsa-mir-659,26.0,-0.417697712
hsa-mir-410,40.0,-0.42946859019999994
hsa-mir-99a,73.0,-0.43882287
hsa-mir-382,59.0,-0.44492156740000005
hsa-mir-541,92.0,-0.528948631
hsa-mir-190b,84.0,-0.5414926384000001
hsa-mir-214,13.0,-0.5690543196
hsa-mir-323a,90.0,-0.610191884
hsa-mir-3662,33.0,-0.754927918
hsa-mir-369,94.0,-0.836269495
hsa-mir-561,34.0,-0.8882911177999999
hsa-mir-411,63.0,-1.077883714
hsa-mir-92b,35.0,-1.340815146
hsa-mir-654,64.0,-1.3775489208
hsa-mir-224,95.0,-1.5704733614
