genes,Unnamed: 0,values
GSTT2B,314.0,10.714132000000001
EGF,144.0,10.255442104
CACNA1C,351.0,9.2527744
ERBB2,2.0,8.406772828
ITPR3,703.0,8.14848572
VAV1,806.0,7.6865929934
PPP3CB,372.0,6.81044332
PLA2G4F,30.0,6.2838788999999995
GRIA4,155.0,6.27511556
SKP1,119.0,6.10095295
SLC4A4,325.0,6.0558389222
ABL1,245.0,5.918819955
SEC61A1,468.0,5.771885385999999
ITGA3,644.0,5.750828932
GSTP1,809.0,5.62076578
SIN3A,398.0,5.603225526
GRIK3,861.0,5.545722976
IL10RB,222.0,5.4393664379999995
PGAM2,403.0,5.0878140599999995
HSD17B12,438.0,5.03690282
GLUL,541.0,5.03246884
SCD,164.0,4.97090746
ACO1,793.0,4.89308342
ARPC2,727.0,4.802864306
SLITRK5,557.0,4.7331465459999995
RPS6KA4,763.0,4.572304538479999
ANAPC4,972.0,4.52238405
TGFBR1,585.0,4.426180308
TUBB4B,374.0,4.319714534
TPH1,522.0,4.290013452199999
LBP,356.0,4.248181768
CIR1,994.0,4.201093606
CCNB3,35.0,4.17481598
IRAK4,116.0,4.12759194
HSP90AB1,369.0,4.11886326
TAB3,754.0,4.085603346
CAMK2B,936.0,4.013262448
MAP3K1,210.0,3.95191884
PYGB,607.0,3.848968166
PPP3R2,750.0,3.8337714399999996
IL20RA,73.0,3.8305976080000006
HTR2B,10.0,3.7860575140000003
ATM,519.0,3.76562118
KIR3DL2,794.0,3.740086874
LDLRAP1,196.0,3.7200124114
C3AR1,560.0,3.7167874079999996
CXCL12,309.0,3.6750515
MC5R,157.0,3.667477205468
RIPK1,400.0,3.6474862800000003
REL,55.0,3.61445901
HMGCR,824.0,3.611044116
SRP9,66.0,3.587132684
PPP2R3B,179.0,3.572147420000001
DDC,540.0,3.539657108000001
PARP3,702.0,3.5138514
PIK3R3,65.0,3.4638953799999994
LYN,712.0,3.452230786
CNGB1,979.0,3.4447721200000005
FANCD2,598.0,3.43992195
UAP1,453.0,3.418502014
FGFR2,313.0,3.414320268
HPD,189.0,3.393654228
CHD4,442.0,3.354947121
GPR50,163.0,3.2710468400000003
