,genes,values
0,AQP7,2.9009616
1,SLC6A11,-5.635866
2,GDA,0.43021765
3,UBR5,4.4772744
4,NOTUM,0.11068404
5,GTF2H5,5.1421113
6,SFRP4,0.44691768
7,NAPEPLD,1.0904123
8,ALDH1L1,-0.015626058
9,HTR2B,1.2279935
10,UBA52,-1.4249072
11,SLC17A7,-0.76286346
12,AGPAT5,-2.8673716
13,TRAM1L1,-1.2282333
14,P2RX7,2.1210835
15,ATR,-2.326388
16,ATP7A,-1.0660341
17,TEAD2,-1.1631769
18,WDR3,-0.74578357
19,HMGCS2,3.8935251
20,SGCB,-0.9107837
21,HERC1,2.4864254
22,SLCO1B3,-2.0078723
23,SPATA5,-0.46931577
24,SOX17,0.25655028
25,CYB5RL,-3.486073
26,TTC37,8.167944
27,KIF23,-1.3054632
28,CHSY1,-2.3850636
29,VIPR1,-0.7093891
30,GREM2,0.763987
31,CSNK2B,-3.0003629
32,CLDN20,-2.6510942
33,PROS1,1.3885138
34,SIX1,1.4228802
35,GPHN,-0.574668
36,HOMER2,-1.9366906
37,PLA2G2F,3.4922695
38,TST,-11.953127
39,RPL7A,0.16716744
40,SEC24A,1.1476955
41,PDE4C,-3.9256697
42,LAMA2,13.194276
43,CDC27,-2.0927503
44,CNOT1,-6.9001107
45,YWHAG,-0.8000576
46,TAOK1,0.40690437
47,XPOT,-3.6559637
48,ZNF490,8.740071
49,TTF2,0.46889937
50,DUSP2,-0.87457746
51,NDUFA11,-1.4306786
52,TAS2R31,-1.4439536
53,PIGZ,0.017931065
54,ARSB,4.9366717
55,SMCR8,-1.2555822
56,GLI3,0.18950902
57,PLA2G4E,19.65464
58,SLCO1B1,-0.46693996
59,HOXD10,-3.4174144
60,RFC1,1.9695572
61,ITPK1,-9.307835
62,SLC34A3,-1.9805803
63,TRPC3,4.580525
64,ADCY1,-11.005355
65,LAMP2,-5.811564
66,EEF2K,-0.69949836
67,DPYD,2.7990894
68,FN1,21.472097
69,GRID1,-1.3973044
70,IGF2R,-1.9523877
71,EPHA4,4.176237
72,ATP6V1A,2.1484618
73,ICAM2,0.4449746
74,TLE6,-0.7886631
75,PLK3,-1.1839336
76,CHD8,-0.093084455
77,CMA1,1.2710384
78,KSR1,0.5216806
79,MTOR,-6.8429465
80,ROR1,-0.17649375
81,DLG5,1.7023838
82,RPL36A,-0.3065625
83,PRKDC,1.2021849
84,PCYT1B,-6.637806
85,ARHGEF4,-6.68694
86,ACE,-4.263119
87,RPL13A,-0.38192356
88,CARD18,-0.15582348
89,NDUFA2,2.5302055
90,GTF2E1,2.1814387
91,ANTXR1,0.18566005
92,COL5A2,-1.8032982
93,TNPO1,4.056175
94,STX2,4.022151
95,TUBB4A,-6.5200644
96,TNFRSF17,0.1423517
97,MKNK2,2.146656
98,RPL29,0.09372887
99,AHCYL2,6.315605
100,TOPBP1,-2.2285874
101,ASIC1,-0.7025014
102,ENPP6,6.1687717
103,MMP9,-2.4918804
104,PIKFYVE,-3.8808246
105,DNM1,-1.9580706
106,SERPINB2,-0.86007875
107,CPB2,-13.553336
108,C3,6.5934453
109,NPC1,0.482607
110,THSD4,-3.326413
111,FAN1,-3.7782738
112,NKX3-1,2.8196564
113,AMPH,-3.7296553
114,LDHC,4.776505
115,TSPO,1.3165315
116,GAS1,2.318576
117,RSPO3,-0.20506258
118,BOC,-5.0954056
119,COL11A2,-0.43660158
120,NDUFB10,9.443124
121,ITPKA,-4.6333485
122,SEMA6B,3.7915757
123,TMEM86B,4.6944137
124,SF3B3,0.11398199
125,KIDINS220,1.2842449
126,FBP1,0.41087028
127,RPS6,-11.696529
128,ACSL5,-11.054699
129,IFI30,-0.67016363
130,CHST6,2.4781878
131,CSNK1G3,-2.0819418
132,COL16A1,1.3669555
133,SEC24C,-3.267533
134,ALDH1L2,-3.5307014
135,LPAR4,-0.11627979
136,HAND1,2.320683
137,IP6K2,-0.4660028
138,RPS28,-0.14253497
139,AGPAT4,4.191537
140,BRCA2,-13.303408
141,CLDN5,3.968248
142,MED13,-4.073648
143,ZNF707,1.9331864
144,COL5A1,-0.5320932
145,MYO5A,-3.5301447
146,LRIG2,3.3590758
147,B3GALNT2,1.9803207
148,XRN1,-2.790421
149,ATP7B,-3.287651
150,NLGN2,-0.9326245
151,NDUFV1,-5.2324853
152,ETV1,3.8188834
153,OXTR,2.8944867
154,DAGLA,-2.284124
155,IL27RA,2.0002098
156,GABRQ,-1.0123603
157,NDUFB7,-5.285763
158,DGKG,4.051322
159,SEMA3B,2.785156
160,REST,-0.39283746
161,CAMK2D,-21.784597
162,ENPEP,-5.4267645
163,VAMP5,-0.609267
164,ST3GAL6,-0.9881865
165,LGR6,0.2874261
166,RNGTT,-1.2223808
167,RPL13,0.47337028
168,LIG3,-1.8393453
169,AMH,-10.7192
170,P2RY1,-3.5146706
171,SFRP1,-0.53404874
172,ARPC4,13.380488
173,PNPO,-0.1786415
174,SLIT2,-0.5570464
175,CLDN6,5.241303
176,ZNF674,-1.9031818
177,APCDD1L,-0.15604979
178,DIAPH3,-1.4475312
179,POMK,-2.2766736
180,DICER1,3.3747575
181,DMXL1,-0.45718825
182,PPAT,1.7640444
183,EGF,7.951297
184,ZNF492,9.280762
185,RPL26,0.35994086
186,ST3GAL2,2.2060344
187,NFKBIZ,-1.0188676
188,OR11H7,4.672372
189,WNT11,-11.012895
190,ZNF699,-10.844415
191,FZD1,-3.7844634
192,FADS1,-1.6791643
193,SLC25A6,4.8330607
194,RXFP1,1.3665559
195,PFN1,-2.8138244
196,CALML3,8.208248
197,GSTM1,8.403727
198,STXBP1,8.080741
199,GSPT2,0.22130258
200,DSC2,2.031331
201,ZFP1,-9.530252
202,RPL18A,-0.19380309
203,UCK2,-2.289185
204,AGPS,3.3677762
205,TP73,4.458118
206,COL8A1,1.8756164
207,AR,1.7266521
208,CLTCL1,-9.622411
209,PDGFC,3.2244284
210,GALNT15,3.1164076
211,PIK3C2A,-9.893172
212,PTPRZ1,0.6675893
213,ARPC3,3.751481
214,COMP,-1.7686992
215,CUBN,0.41886747
216,LFNG,-2.1005645
217,TRIM37,4.0714345
218,ZNF132,2.56829
219,AMDHD1,3.6410913
220,PNLDC1,6.520747
221,SULT2A1,8.58467
222,CHRNA3,0.21248998
223,SAV1,4.4168353
224,MME,11.693663
225,CTLA4,4.70876
226,GPR161,-1.7833033
227,ACY1,-0.70466584
228,KLHL13,2.6758366
229,ARNTL,2.5401878
230,STAM2,-1.1535611
231,THBS4,-16.759766
232,PAK3,0.128121
233,DBT,4.9485583
234,NF1,-1.3762921
235,AMT,-4.9656954
236,NSD1,-0.67342895
237,COL27A1,-1.5742937
238,HMMR,-6.3680816
239,LATS2,-0.49886906
240,UBA7,1.9597652
241,GALNT4,9.981147
242,RASGRP2,-1.8655589
243,S1PR4,-2.37532
244,DOCK4,-0.30048472
245,KRT16,-0.7697789
246,GNA13,-8.018602
247,DLL4,5.654664
248,ROCK1,18.599318
249,HPSE,0.9179226
250,ITCH,-7.408935
251,TP53BP1,0.5591846
252,GTF2I,-3.5236232
253,NRCAM,-1.1329261
254,CD63,0.08838251
255,SLITRK4,-0.42203352
256,ADH1C,-3.7141228
257,GUCY1A2,4.106635
258,CNGA1,1.8251508
259,COX4I1,8.2625065
260,LPAR6,-9.758479
261,HEPHL1,0.5315659
262,TAF1,0.41567165
263,MTCP1,-5.210206
264,CHRNA1,-1.2816634
265,EFNB3,2.5599992
266,ERCC4,7.10319
267,CSNK2A3,0.8845279
268,EDAR,1.9592937
269,SIRT6,8.245155
270,JUND,0.89405465
271,XRN2,1.270635
272,CPT1C,-1.517156
273,RPL11,0.3773657
274,TTI1,-0.3553298
275,EDNRA,-7.4218235
276,F2RL2,-3.9579728
277,ST6GALNAC3,-3.6681826
278,HNF1B,0.75817084
279,SH3GL2,-0.23057656
280,CREB1,-11.748258
281,SKAP1,-0.53502613
282,ACADS,5.3215165
283,RBL1,-0.8030511
284,GLYCTK,-4.096323
285,RBM28,0.23234247
286,ZNF98,-7.75422
287,SDR16C5,2.0602808
288,PIAS2,-1.8531022
289,EPHA3,-4.2394156
290,NTNG1,-1.2090242
291,NKD1,-4.18566
292,STAG1,0.62537473
293,ADH6,0.35933232
294,SIRT4,-2.5066292
295,BDH1,-2.8185422
296,PABPC4L,9.042817
297,PIGQ,3.2423456
298,PRKG1,5.9562
299,MCM4,2.1316407
300,PIGW,-2.1907372
301,CYP4F3,2.3185592
302,GDF15,-1.0269296
303,ZSCAN32,9.943872
304,TRRAP,1.4203596
305,CAD,-1.0297576
306,RPS4X,0.09596205
307,NMNAT2,-2.0679286
308,FECH,5.302287
309,ATP2A3,-9.446547
310,ZNF2,-2.116486
311,TXK,-3.1581185
312,ZNF543,-9.444313
313,ME1,3.7382228
314,IPPK,-1.2602303
315,POLR3G,2.7656403
316,CSNK1G1,-2.3490117
317,SLC7A1,-3.9058967
318,EME2,3.1378276
319,FGF10,6.099161
320,MAP3K2,2.8112345
321,EXO1,-3.421145
322,SEMA3D,0.91671824
323,SEMA3A,-3.1064935
324,NDUFS7,9.939324
325,DNMT1,-3.5814316
326,NDUFV2,4.156991
327,FBN1,3.6182632
328,TNFSF4,-1.627113
329,PAPSS2,4.992699
330,UQCRC1,-10.821311
331,MBOAT1,-4.2196846
332,HBS1L,-1.229542
333,ACLY,4.4729285
334,AMY2B,-11.648662
335,ZNF92,7.0341854
336,ABCA10,-0.83457345
337,GAMT,-0.31493917
338,DBF4B,0.704399
339,IL18RAP,1.009595
340,ZNF229,-7.1592565
341,DNAJC6,1.3871255
342,WNT10B,-0.4410773
343,PHLPP2,-6.842961
344,DNMT3B,1.8031923
345,LIPC,0.26695144
346,DNAJC5,-0.6601484
347,AMOT,-5.306992
348,FGFR1,2.5407221
349,BUB1B,-1.7560254
