,genes,values
0,C1GALT1,4.3804927
1,MEIS1,-0.41148466
2,ERBB2,4.2606883
3,GDA,2.0505095
4,DDX23,-0.034141246
5,SFRP4,-0.26608315
6,ZNF430,-0.5119676
7,ATP2B3,-5.8379054
8,GRM7,-3.363315
9,ALDH1L1,-3.8773503
10,HTR2B,-3.7703679
11,UBA52,0.8999821
12,ATR,-4.3244886
13,ZNF317,1.3427904
14,PPCS,-1.8932863
15,VMP1,-5.3721113
16,INHBB,3.7292411
17,PLCH2,1.0300666
18,HERC1,-0.2883544
19,TTC37,-0.19252113
20,ATIC,2.7255116
21,CXCR5,1.1733552
22,RASGRP1,-1.5920997
23,ZNF528,-1.6024292
24,KCNQ2,-3.2631016
25,CHSY1,-2.436926
26,MASP1,-2.4375901
27,PROS1,-0.50583035
28,RRP7A,-0.0033352035
29,ATG9A,-2.782006
30,PLA2G4F,4.2242866
31,MAN1B1,1.7352225
32,DCTN1,0.2564445
33,NCOA1,2.4254642
34,CNOT1,-0.14161134
35,CCNB3,0.40087336
36,HEXA,3.779703
37,CARD16,-0.8743615
38,TAOK1,-0.010783414
39,CA6,-0.28707072
40,POFUT2,0.2789079
41,CST5,-0.26649135
42,SIRT1,1.6854153
43,ACSS2,-4.304529
44,CARD10,-0.35968667
45,EEA1,0.44059983
46,HERC4,-0.36025506
47,KIF22,-1.2746773
48,TRPC3,-0.9297689
49,KRT10,-1.2462882
50,FBP2,1.086243
51,HSP90B1,4.874969
52,ATP6V1A,0.11043581
53,HTR6,1.6250583
54,PLK3,-0.7184409
55,REL,-2.805044
56,CHD8,0.05506134
57,KSR1,-0.8570874
58,OR7A5,-6.2402897
59,CNGB3,-0.0022194115
60,HNRNPA3,-0.23936242
61,KIR2DL4,2.4825358
62,MRPS6,-0.7736045
63,PTGR1,-2.5403826
64,AIM2,-2.2187815
65,PIK3R3,-9.461841
66,SRP9,5.31266
67,TAS2R20,-1.1597633
68,SP1,1.9389943
69,MBL2,1.8183213
70,PLA1A,0.071135156
71,SP100,-3.7645805
72,TNFRSF17,-0.23935677
73,IL20RA,-3.146251
74,GNAL,2.7692425
75,AHCYL2,0.6955397
76,OR52K2,-6.609205
77,GALNT12,3.4157915
78,PIKFYVE,-1.2666855
79,DHX58,-6.062391
80,OR5H1,-5.7397604
81,ZNF304,-2.438383
82,NFKBIB,2.3336835
83,BHLHE40,-0.9783494
84,THOP1,-0.78893965
85,SEMA7A,-0.73148733
86,CD1B,3.079175
87,GBP7,0.36118814
88,OR10A5,-1.8536239
89,BOC,0.4005939
90,ST8SIA5,-3.5960112
91,MRPL1,-1.5148696
92,ZNF33B,0.76356196
93,MRPL16,1.8169519
94,TGFBR2,-3.1036952
95,MAP3K6,-0.13533902
96,NDUFB9,-1.0169961
97,TRPM6,0.31150642
98,APPL1,2.3532507
99,SEMA6B,-0.17532492
100,PTPRM,-0.48845744
101,CCL11,3.3006613
102,SNRPB,-1.5363678
103,NLK,-0.11131104
104,RASA2,2.4361043
105,ACSL5,-1.0822814
106,CD5,1.435084
107,MAP2K3,1.0926814
108,KIF5B,-0.6832075
109,ZNF565,-2.592342
110,WDR75,-2.3076098
111,OR51G1,-1.0959077
112,DSPP,-0.24029818
113,LRIG2,-0.7424246
114,PRDM2,1.5434272
115,HLA-DOA,-0.6307761
116,IRAK4,-4.801038
117,OXTR,-0.35264155
118,CLCA4,-0.4093137
119,SKP1,1.8993684
120,CREB3L4,0.82626855
121,MSTN,-0.3665953
122,TRPC5,0.5740297
123,ESRRB,-0.51694924
124,NOD1,0.8927838
125,SHANK3,2.603257
126,PRPF38A,-1.2856779
127,C1S,4.5541306
128,ST3GAL6,-0.26529703
129,LGR6,-0.20372342
130,SGPP2,1.2410226
131,NTRK3,1.0434749
132,HRH1,4.6893826
133,ZNF689,-2.013877
134,ZNF658,-1.0900614
135,AFP,1.9624921
136,CPS1,3.795569
137,TAF9,1.3734652
138,ZNF589,-1.1850989
139,LTA4H,-3.0907176
140,RPS21,2.4520576
141,NTNG2,-0.22427921
142,PHGDH,-0.33487865
143,CD209,0.41002372
144,EGF,6.628197
145,ZNF492,-3.5435922
146,ESR1,-2.496902
147,PDE6G,-2.5190134
148,OR10V1,0.7213795
149,ZNF699,-3.5394995
150,PRKAG2,3.8283265
151,NDST2,-1.1503109
152,FAAH,0.033897884
153,FSCN1,-0.30677742
154,UAP1L1,0.44645256
155,GRIA4,-1.7318004
156,ZNF778,-3.18468
157,MC5R,1.9971124
158,ITGAL,0.21016462
159,CASQ2,-0.3004887
160,PTPRF,-1.2972955
161,RAET1E,1.9094151
162,BTG2,0.020320095
163,GPR50,-3.4161975
164,SCD,-1.7056034
165,ZNF547,-0.90556926
166,ACTC1,-0.84270245
167,GSPT2,-1.4322613
168,UCK2,-1.1053618
169,BMI1,-1.0686576
170,GRIN2A,4.052313
171,IL32,-0.22297691
172,PIK3C2A,1.512733
173,POLR3B,-3.344855
174,NPSR1,2.2131724
175,G6PC3,-0.6715645
176,MYO5C,3.169152
177,ALAS1,0.7655859
178,RPA2,5.764631
179,PPP2R3B,-1.1194205
180,MYO1A,4.123555
181,MYO1D,1.744327
182,CKMT2,1.216668
183,DSP,0.5633779
184,SULT2A1,-0.730962
185,MME,2.7151523
186,KDR,-6.6038423
187,JMJD1C,-0.0020925312
188,PLCH1,-0.91304785
189,HPD,-2.4046776
190,RFX5,2.990139
191,NOS1,-2.9847012
192,TRPM2,1.0413502
193,NFATC4,-2.2281027
194,IL1RL1,0.21291631
195,GNS,4.5537605
196,LDLRAP1,0.043798357
197,NAPRT,-1.026379
198,DBT,-2.111367
199,ZIC3,-0.06621652
200,ZNF436,-3.133799
201,PPP2R5D,-1.7064326
202,CKAP4,1.3207777
203,BID,3.9162273
204,GPAM,-2.355901
205,RUVBL1,-0.08718762
206,TP53BP1,-0.5330265
207,PCYT1A,-5.5108924
208,CHRNB1,0.50826657
209,SLITRK4,0.6064101
210,MAP3K1,11.700309
211,SLC7A9,0.003037854
212,GUCY1A2,3.4689443
213,ABCA6,-2.352644
214,COX4I1,-0.23576914
215,LPAR6,-0.44431704
216,ZIM3,-2.328763
217,ZNF534,0.51964563
218,PAX7,-0.015296196
219,EFNB3,0.07194747
220,ABCD3,-2.4448495
221,ZNF681,2.9644191
222,IL10RB,-2.191242
223,MFSD8,0.012270915
224,UGT2B4,6.562777
225,TAP1,0.024224175
226,COL6A6,-2.0612757
227,F10,-0.30624336
228,ST6GALNAC3,1.1252354
229,PTH1R,4.206974
230,ZNF480,0.67997426
231,GALM,-1.9326652
232,GATB,-4.539432
233,ZNF302,-3.3585176
234,CLDN9,5.24253
235,MSH2,-0.54813755
236,XPO6,-1.461784
237,ZNF878,-4.013445
238,PRKAG1,4.7603126
239,AKR7A2,-0.2176761
240,MBTPS2,-1.2447722
241,PIK3CD,-28.403093
242,AK5,3.220647
243,ALDH1A1,3.8072386
244,UBA2,-0.4413351
245,ABL1,0.045465875
246,PHLPP1,-1.7927198
247,RPS4X,1.3093035
248,ATP2A3,1.6525733
249,OR5M8,-3.2255359
250,PPP1R3F,4.845829
251,MCEE,-5.219711
252,STRADA,1.135933
253,TAF3,-2.2211146
254,ZNF74,-1.0054939
255,MUC7,0.28416035
256,GALNTL5,-0.14516306
257,PDSS2,-0.012130926
258,SLC6A2,0.60117275
259,MOCS3,-6.596564
260,SLC25A31,-7.174415
261,DBH,2.8394558
262,GPX6,1.417166
263,NDUFV2,-3.0937438
264,FBN1,-3.133831
265,PAPSS2,-7.632968
266,TPP1,0.016326332
267,DNAH6,0.067189544
268,EYA1,0.019166887
269,AMY2B,2.3145738
270,NTN4,1.1509635
271,SLC6A4,0.6114336
272,MDM4,-0.38280594
273,TICAM1,-3.454447
274,OR13F1,1.8950557
275,POLR3D,-2.9083045
276,GANC,0.30721527
277,GRM4,0.42409664
278,ZNF229,3.4686394
279,HDAC7,2.8511417
280,FLAD1,0.95154446
281,VTCN1,0.7921679
282,GNA12,-4.015927
283,KRT17,-1.3366694
284,POLR2I,0.6525382
285,CD48,-0.92334765
286,ZFP69B,-1.7366797
287,ZNF160,-3.3290737
288,FUT8,5.146972
289,PLA2G4D,1.5062667
290,GLUD1,3.527369
291,ACTA2,0.35729265
292,ZNF557,-2.7498426
293,ZNF354A,4.030689
294,CYP4F2,6.317781
295,KRT23,1.5756344
296,RHOH,-2.0946481
297,KDELR2,2.2428086
298,ZNF623,-0.31053114
299,CPA2,-1.2510091
300,ACTR10,0.041894052
301,GP6,3.0064633
302,SUOX,-0.4577438
303,SLC5A5,0.35995966
304,LPAR1,-3.9082904
305,DNAH11,-0.07769931
306,UBE2S,0.23762637
307,OR4F17,5.627198
308,ASAH1,-2.1346
309,CXCL12,-4.5479927
310,ZNF761,2.5871773
311,OR8K3,-5.5060396
