,genes,values
0,hsa-mir-125b-1,-1.2733855
1,hsa-mir-935,-2.0393465
2,hsa-mir-3143,1.5447705
3,hsa-mir-543,-1.7227976
4,hsa-let-7c,0.27640063
5,hsa-mir-137,0.4459452
6,hsa-mir-4707,0.25200698
7,hsa-mir-5090,-0.059933048
8,hsa-mir-5001,-1.3316867
9,hsa-mir-370,-1.2567523
10,hsa-mir-1260b,0.74066585
11,hsa-mir-612,-0.6789129
12,hsa-mir-4424,0.45530847
13,hsa-mir-214,-0.5889582
14,hsa-mir-466,0.48156282
15,hsa-mir-455,4.0952206
16,hsa-mir-758,0.12530527
17,hsa-mir-3667,0.41296372
18,hsa-mir-143,-0.5972839
19,hsa-mir-4685,-1.0853794
20,hsa-mir-95,-0.022947371
21,hsa-mir-127,0.9363799
22,hsa-mir-216b,1.4383506
23,hsa-mir-5193,-0.066404924
24,hsa-mir-3117,-0.02865797
25,hsa-mir-3943,0.8203706
26,hsa-mir-659,-1.5015082
27,hsa-mir-655,0.30837587
28,hsa-mir-380,1.3968754
29,hsa-mir-3144,0.17384882
30,hsa-mir-154,-0.58414584
31,hsa-mir-4449,-0.30637795
32,hsa-mir-337,-1.9697838
33,hsa-mir-3662,-3.684421
34,hsa-mir-561,-4.0999427
35,hsa-mir-92b,-5.27625
36,hsa-mir-506,3.3132067
37,hsa-mir-548y,6.561499
38,hsa-mir-1911,0.6116268
39,hsa-mir-4521,-2.4788089
40,hsa-mir-410,-1.6352767
41,hsa-mir-409,0.1143638
42,hsa-mir-1185-2,1.4707751
43,hsa-mir-379,-0.41738692
44,hsa-mir-658,1.7766483
45,hsa-mir-1305,-0.4182799
46,hsa-mir-1294,-1.2821187
47,hsa-mir-4454,1.0853798
48,hsa-mir-584,-0.7793909
49,hsa-mir-134,-0.5766722
50,hsa-mir-4691,2.4415853
51,hsa-mir-889,0.5862302
52,hsa-mir-199b,4.8013577
53,hsa-mir-125b-2,0.3461354
54,hsa-mir-1237,0.0001993104
55,hsa-mir-1269a,-0.46354303
56,hsa-mir-133b,2.7183094
57,hsa-mir-548l,-0.5192335
58,hsa-mir-4524a,1.2024412
59,hsa-mir-382,-0.996124
60,hsa-mir-487a,2.1454694
61,hsa-mir-4733,1.9497371
62,hsa-mir-299,-0.17748074
63,hsa-mir-411,-3.2244463
64,hsa-mir-654,-5.255634
65,hsa-mir-3622a,-0.012164311
66,hsa-mir-494,0.72253
67,hsa-mir-539,-0.38485065
68,hsa-mir-1295a,-0.6048142
69,hsa-mir-577,2.9830337
70,hsa-mir-377,2.8098228
71,hsa-mir-1245a,0.14881583
72,hsa-mir-485,1.9056036
73,hsa-mir-99a,-0.21820031
74,hsa-mir-4742,-1.7577763
75,hsa-mir-513c,-1.8369298
76,hsa-mir-641,-2.8886113
77,hsa-mir-1185-1,-0.6089955
78,hsa-mir-495,-2.091269
79,hsa-mir-489,1.8841145
80,hsa-mir-615,1.9635732
81,hsa-mir-152,-0.45000648
82,hsa-mir-431,0.5805612
83,hsa-mir-4802,-2.0797837
84,hsa-mir-190b,-1.5676501
85,hsa-mir-3150a,0.35812452
86,hsa-mir-3140,0.11339312
87,hsa-mir-551a,0.32742873
88,hsa-mir-665,2.4392724
89,hsa-mir-493,-1.1112195
90,hsa-mir-323a,-2.5397522
91,hsa-mir-432,3.840915
92,hsa-mir-541,-2.564304
93,hsa-mir-345,0.63303745
94,hsa-mir-369,-3.551294
95,hsa-mir-224,-4.9023275
96,hsa-mir-487b,-1.8664476
97,hsa-mir-5699,-0.54533994
98,hsa-mir-873,-0.77421236
99,hsa-mir-4423,-0.7364854
