genes,Unnamed: 0,values
CYP1A2,484.0,12.4426794
TAT,60.0,11.511591326
ACAT2,686.0,11.32473208
ELK1,760.0,8.966834500000001
CXCL12,847.0,8.7187063
CPT1B,933.0,8.680634842
CYP2E1,402.0,8.656762952
EGF,932.0,8.48099342
CTNNA3,453.0,8.10979862
PIK3R2,499.0,7.6108913000000005
IFNG,7.0,7.318976879999999
INPP4A,62.0,7.1181610200000005
ACACA,534.0,6.99789701
SEC61A2,670.0,6.64175874
CD8A,603.0,6.3430379
ATP2A3,726.0,6.325386195999999
EFNA3,505.0,5.85803943
CDC25B,103.0,5.72362274
IPMK,676.0,5.70390572
PRF1,208.0,5.667531800000001
RAD51,38.0,5.475486866
MAP3K14,966.0,5.21117246
TUBB,563.0,4.9912130900000005
CALML6,129.0,4.835437499999999
PAK1,174.0,4.76451824
GSTM5,268.0,4.726285358
HGF,831.0,4.49878946
CAMKK2,238.0,4.494512708
C7,250.0,4.480115434
MED24,95.0,4.3913880579999995
FGF1,867.0,4.387820528
GNAO1,955.0,4.361515024
BIRC3,879.0,4.088292740000001
SNRPB,246.0,4.077111864
BRAF,509.0,4.03768892
BRAP,34.0,3.9744897939999992
KCNJ2,886.0,3.9658875360000003
RPL10L,510.0,3.8863680799999996
GGT6,252.0,3.77704102
TLE3,14.0,3.7743091059999996
DBF4B,125.0,3.716504716
GXYLT2,940.0,3.7093246399999997
HSPA1B,716.0,3.70466586
ELOVL3,783.0,3.69650179
SGPP2,420.0,3.5689069279999996
ATP6V0D2,671.0,3.5618937799999997
EFTUD2,811.0,3.479019072
YWHAQ,761.0,3.416188064
TNFSF13,918.0,3.3814987700000003
CAMK2B,793.0,3.3529060800000003
PTGDS,436.0,3.313760906
UGCG,412.0,3.30386926
PIP4K2B,396.0,3.2932217800000005
CSNK2A3,736.0,3.26900782
ALDH4A1,265.0,3.2638603440000002
SRP68,751.0,3.263085666
CTNNA2,411.0,3.2625939280000003
MAPK10,591.0,3.2529981599999997
MCM2,665.0,3.2367567719999997
DIO2,582.0,3.2351557069999997
EIF4EBP1,569.0,3.231963399
CASP12,239.0,3.215923188
LFNG,816.0,3.169879608
ARSB,352.0,3.14556514
PKMYT1,579.0,3.13519722
ALG10B,348.0,3.1339373000000004
RNASEH2A,636.0,3.1080714400000002
CCNB2,767.0,3.101846642
AK9,612.0,3.096569948
OGDHL,454.0,3.09654208736
GGT5,240.0,3.053313348
LDHC,416.0,3.04665616
KAT2A,772.0,3.04605967
GCLM,264.0,3.0048348199999997
RAPGEF3,364.0,2.99482756
CDC6,196.0,2.9535632400000003
CIR1,769.0,2.9422225600000003
PIDD1,317.0,2.913117806
DEGS1,863.0,2.89630242
PNMT,365.0,2.8912047509999996
TALDO1,398.0,2.866053044
SNRPC,723.0,2.86334214
STX19,90.0,2.8581893648
ASPDH,855.0,2.7869201404
PTTG1,249.0,2.6984148279999998
FKTN,640.0,2.69161516
SPP1,181.0,2.668385212
ME1,1.0,2.632521246
KCNJ12,413.0,2.625916134
ITGB3,340.0,2.60421862
PPBP,64.0,2.584177036
FZD9,643.0,2.5549171520000002
VKORC1L1,721.0,2.5493618259999997
GSTM1,782.0,2.54619545
RPS6KB1,497.0,2.5396995999999996
BUB1,950.0,2.4829840938
RPTOR,652.0,2.4764300400000003
CSNK2B,626.0,2.474549252
IHH,203.0,2.4677654519999996
PRKCA,646.0,2.42027315
RBL1,819.0,2.409079488
RFC4,794.0,2.374003093
RGMA,498.0,2.34950927
RFC2,176.0,2.3397528999999997
UCK2,61.0,2.32055288
POLR3G,764.0,2.282816236
NTF3,385.0,2.26444133
PRH1,30.0,2.263557688
MRAS,604.0,2.20319412
PSMD1,114.0,2.184874612
CYP3A43,881.0,2.1805480837999998
CYP3A4,725.0,2.1143481
RANBP1,581.0,2.091598832
FANCB,186.0,2.083753454
BUB3,720.0,2.0677347599999996
IL17RB,682.0,2.052854471
SRD5A3,306.0,2.050492096
PDX1,578.0,2.0374236199999998
CBR3,530.0,2.034278874
UGGT1,72.0,2.0317161859999997
HSD11B2,227.0,2.012259926
UBOX5,135.0,2.0118676013999996
PPAT,754.0,2.00697554
SNRPD3,4.0,1.9954433120000001
CD3E,982.0,1.995095526
NR4A1,818.0,1.9883003399999999
MANBA,861.0,1.9717100479999998
HAO2,401.0,1.967055528
MAFA,681.0,1.9603816479999998
MCM3,887.0,1.958461238
IL23A,807.0,1.9267254980000001
MTMR14,234.0,1.9248703859999998
SEPHS1,357.0,1.9185872540000002
CCL22,169.0,1.9042029880000002
POMC,993.0,1.902726054
ANAPC1,724.0,1.8875433234000003
GZMB,884.0,1.8531303080000001
RAD51D,942.0,1.842134246
PVR,198.0,1.834569544
HS2ST1,506.0,1.8345123298000001
CCL19,440.0,1.82448616
ENPP4,661.0,1.8183326603999999
NKD2,632.0,1.8085245100000003
IL1RL2,206.0,1.7900597407999999
UBE2E1,248.0,1.7809116580000002
VAMP4,822.0,1.7769672507999998
HERPUD1,368.0,1.773128522
NF2,991.0,1.7612765199999998
UBE4A,574.0,1.74485481
AURKA,338.0,1.71162154
HMGCL,476.0,1.68023423
ENTPD8,382.0,1.67956358
RAD54B,798.0,1.6774916884
FLNC,105.0,1.6706245820000003
GIT1,666.0,1.6351128259999999
POLR2J3,207.0,1.625535568
MASP2,225.0,1.622763749
PAFAH1B3,66.0,1.6145266879999998
CCL16,565.0,1.605005276
EML4,745.0,1.6027437000000002
DCTPP1,540.0,1.6000495351999997
KIF5C,495.0,1.587282956
HS3ST2,685.0,1.577060267
APPL1,985.0,1.572948212
SSR2,157.0,1.568922326
RPL27A,775.0,1.5684447340000003
FLAD1,559.0,1.5673337920000001
TEK,539.0,1.5563502999999999
POU2F1,128.0,1.5418174456
ATIC,394.0,1.541523534
CCNA2,204.0,1.5405143960000003
ACADVL,236.0,1.5204395179999999
CKS1B,550.0,1.5154948912
MOGAT2,990.0,1.5091502399999999
POLE,853.0,1.49767414
CYP26A1,74.0,1.497593924
EPHB3,658.0,1.4953945151999999
NMNAT3,795.0,1.491837768
CXCR6,900.0,1.4428715022
NPRL2,444.0,1.440199596
SLC2A4,545.0,1.437829799
NCBP1,172.0,1.42266426
YWHAH,935.0,1.4069796680000002
ZNF585A,528.0,1.402898258
NUP62,290.0,1.3918842599999999
ABCB6,138.0,1.3764531359999999
ZNF675,925.0,1.3681054154
NRG4,587.0,1.366174834
ZNF669,781.0,1.3646780262
TRPC5,553.0,1.3631584692
ORC2,957.0,1.337466614
CDK7,140.0,1.3354988880000003
POLE2,82.0,1.3245796909999998
RAP1GAP,97.0,1.31302398
SSTR5,642.0,1.31281296
ADORA2A,237.0,1.3086668328
ST3GAL5,737.0,1.3047032539999999
RPSA,973.0,1.2890881274
SNRPB2,742.0,1.281782002
APLN,235.0,1.2800191779999999
ZNF200,41.0,1.2739755056
TRAM1L1,356.0,1.272025936
SAP30,533.0,1.2647567506
ZNF571,776.0,1.249061426
CD58,472.0,1.2469227520000001
NOP58,938.0,1.23785364248
PTGER2,230.0,1.219550608
HSD17B1,589.0,1.2169642966
MMP1,810.0,1.21618762
ZNF583,308.0,1.2139674299999998
STIM2,241.0,1.206394644
FANCG,253.0,1.205563284
CDK1,292.0,1.204682872
KIR2DL4,987.0,1.1940013180000002
SNAP25,616.0,1.1901895809999998
ELANE,628.0,1.182551288
NUP43,555.0,1.1814936759999999
PEMT,743.0,1.181458728
CXCR3,728.0,1.178854478
CARD11,525.0,1.177829538
NXT1,376.0,1.1739961516000001
GPD1L,677.0,1.1708650374
KPNB1,205.0,1.169798584
ABO,854.0,1.1570316
PHAX,908.0,1.1561644320000002
CORO1A,697.0,1.1478946420000002
PTCH2,522.0,1.141953848
ZFYVE16,779.0,1.117383026
SLC3A1,722.0,1.11582333
SLC22A1,956.0,1.113784879
SLC22A5,378.0,1.1090185572000002
RAD54L,40.0,1.108072274
POLR3K,799.0,1.1076406410000001
KIF7,325.0,1.106948968
SLITRK3,865.0,1.099700648
ALS2,894.0,1.095515788
B4GALNT3,635.0,1.091221914
LPAR2,976.0,1.0901492599999998
GSR,461.0,1.09013698
ZNF85,297.0,1.089978772
SFRP5,946.0,1.0873305696
KIF23,502.0,1.0711456
UBE2Z,427.0,1.068863582
SLC19A1,905.0,1.0652153872
ZNF383,407.0,1.0544758060000001
ETV4,369.0,1.05203296
GATC,634.0,1.0494557910000002
FANCM,410.0,1.041045328
DIS3L,259.0,1.03901226892
COQ6,921.0,1.0376346
CYSLTR2,644.0,1.0336631891999999
ASRGL1,144.0,1.03003332
COL4A5,787.0,1.0231433799999998
ZNF133,786.0,1.0216282388
CNTFR,322.0,1.018401704
XRCC3,739.0,1.016961428
SMC1A,130.0,1.01110298
RIF1,437.0,0.9921751217999999
XPA,170.0,0.991057044
GLUD1,577.0,0.986763964
PDE6C,359.0,0.9831637800000002
STRADB,353.0,0.9822747620000001
RMI1,111.0,0.9815427379999999
MBOAT1,605.0,0.98066068
PHOSPHO2,944.0,0.970755914
EIF2B4,892.0,0.970728368
ALOX15B,618.0,0.967554812
CHSY3,979.0,0.9587306420000002
SARS2,400.0,0.9575501144
GLCE,13.0,0.953955994
RPL23,166.0,0.9470520779999999
FCGR2C,848.0,0.9441438599999998
PF4,345.0,0.9341916720000001
SEMA5A,734.0,0.9281811568
MRPS10,833.0,0.921283412
ORC1,815.0,0.9017103580000001
FANCC,989.0,0.8988150690000001
S1PR2,439.0,0.8987118726000001
SOX4,507.0,0.8977234559999999
NTRK2,87.0,0.8975024132
CCR5,826.0,0.887990926
RBMX,53.0,0.8777049036000001
ZFP37,627.0,0.8736466440000001
UBE2C,695.0,0.8617896575999999
PTDSS2,551.0,0.858566092
SNRPD1,611.0,0.856677271
DKC1,961.0,0.851143911
CD79A,699.0,0.8474790940000002
MYH11,780.0,0.84007506
TNFRSF19,374.0,0.8376934236
ZNF546,988.0,0.836669298
DDX42,978.0,0.8352672200000001
ZNF727,623.0,0.830078808
PDCD1,937.0,0.830003194
ZNF442,473.0,0.8047915562
TWIST2,475.0,0.7920601039999999
DHH,334.0,0.7918053787148
IQCE,175.0,0.78941248
GAL3ST1,663.0,0.77967404
RBM17,329.0,0.7785066546
ZNF569,321.0,0.77733027
KIF3A,299.0,0.7765243639999999
RUFY2,98.0,0.7748467304
FBXO4,595.0,0.7741456500000001
PABPC1L,692.0,0.7720748420000001
CUL7,423.0,0.768970026
TDO2,573.0,0.763674394
ZNF544,282.0,0.761749754
BAG2,189.0,0.741586232
DHRS11,852.0,0.738209714
ZNF222,327.0,0.73407698
STMN1,877.0,0.730524284
RBPJ,562.0,0.7235639240000001
ABCA4,220.0,0.719164878
UTS2B,5.0,0.71254880386
MYO1A,67.0,0.7092291196
PPP1R14A,823.0,0.7035088386
EXOSC2,213.0,0.6921318115999999
ZNF343,560.0,0.69051293
EDA,774.0,0.6841216762
DNM1,302.0,0.6833279859999999
ZNF529,120.0,0.6756289654
ZNF90,432.0,0.672773827
ADCY4,980.0,0.6689861600000006
NDC1,337.0,0.6680137740000001
TLR1,118.0,0.6676055392000001
ZNF780A,829.0,0.654269928
UNC5C,673.0,0.653491096
ZNF224,11.0,0.6519968620000001
SPOP,162.0,0.648453692
UST,381.0,0.6475462162000001
ANGPT2,834.0,0.6433769200000002
NT5C3A,32.0,0.642223258
CERS5,535.0,0.6405643399999998
GOSR2,920.0,0.63809544
PRKAR2B,660.0,0.6365208499999999
ZNF420,418.0,0.6258111530000001
PLXNB3,177.0,0.623627662
IL1RL1,891.0,0.621359454
PHKA2,247.0,0.6193473133999999
LMNB1,962.0,0.619033128
GABBR2,487.0,0.618973648
PIGC,242.0,0.618917514
EDC3,730.0,0.617232382
CPSF4L,373.0,0.6066059880000001
DCLRE1C,678.0,0.606274507
ZNF726,873.0,0.605647504
ERCC6,713.0,0.6053664896
GRPR,304.0,0.60394727
ZNF527,221.0,0.6013661288200001
CCR2,503.0,0.595784018
CYP2C9,870.0,0.5870300400000001
ACE2,127.0,0.582007932
PWP2,486.0,0.5796996240000001
SFRP1,748.0,0.571225568
SLC2A5,458.0,0.5699498279999999
PTGS1,323.0,0.568108458
ZNF782,344.0,0.56736333
PLK1,85.0,0.56093506
FNIP2,190.0,0.55680223
DSG1,631.0,0.555999704
ZNF195,575.0,0.5509195659999999
ADRA1D,152.0,0.538982092
EIF2B3,684.0,0.536044772
RPS24,217.0,0.53137626
THBS2,792.0,0.529700208
IRAK3,874.0,0.528742578
COL7A1,526.0,0.5284816672
PTH2R,501.0,0.527290174
CCL21,907.0,0.522408146
GPAT2,254.0,0.5157085
UNC5A,457.0,0.512824467
ZNF568,316.0,0.5094484338
ZNF440,279.0,0.5090825109999999
PIGM,289.0,0.5063056680000001
LYPD6,78.0,0.50492463
KLF2,672.0,0.50461072574
ZNF764,201.0,0.5044891304
ZNF248,42.0,0.489744595
AOC2,986.0,0.4855283599999999
LAPTM4B,960.0,0.482796514
IPO7,554.0,0.479211732
POMGNT1,637.0,0.4720215019999999
VTCN1,508.0,0.47188617199999994
GGA3,372.0,0.471025314
SLC1A7,791.0,0.470211328
CDC25A,465.0,0.46769324799999995
RMI2,121.0,0.4649460100000001
PRPF3,511.0,0.4625056790000001
SSX2IP,968.0,0.448099485
ZNF234,214.0,0.4470037619999999
ASIC5,215.0,0.44613475280000003
PSMD11,840.0,0.4397954200000001
ICA1,479.0,0.4397782916
PINK1,255.0,0.427263362
MST1R,504.0,0.4243939072
NUP85,211.0,0.41829576000000007
PDSS1,896.0,0.413631314
CARD14,408.0,0.4032120034
DHRS3,314.0,0.402174928
ERCC8,596.0,0.40093537999999995
CHEK1,51.0,0.396472954
RAB33B,712.0,0.3948904000000001
PPM1D,934.0,0.392995294
TRPV3,659.0,0.39240401059999996
MUC5B,104.0,0.39098730540000004
CA9,226.0,0.3842905165800002
ZNF566,84.0,0.38115355399999995
ZNF284,714.0,0.37802541660000005
ACSS3,580.0,0.36957403000000005
MAPK8IP3,149.0,0.3621512
SELP,233.0,0.35333907
POLR1B,999.0,0.341950982
AVPR2,421.0,0.33127751200000005
CYP39A1,45.0,0.32863153
DSG2,273.0,0.31938902199999997
CKMT2,917.0,0.31654954
SSH2,762.0,0.29076102719999997
ARSG,173.0,0.28841492
ZNF233,801.0,0.28529737400000005
IFI16,466.0,0.28448337199999985
ZNF169,593.0,0.282962586
P2RX6,538.0,0.28184966800000005
UBE2O,383.0,0.27758887200000004
STAM,164.0,0.27523029
ZNF878,83.0,0.2696035444
RGCC,280.0,0.25507946
CCNT2,274.0,0.251736568
SUV39H1,537.0,0.25086309399999995
TXNL4A,928.0,0.25009706000000004
ULBP2,608.0,0.24761941699999998
MAP4K1,283.0,0.24680139160000003
SLC9A3,276.0,0.24511531399999997
NPLOC4,482.0,0.24076047800000003
POLA1,341.0,0.23987854999999997
BMP5,73.0,0.2392489199999998
MGAT5,490.0,0.235408874
VPS29,542.0,0.23206459200000004
DCTN5,806.0,0.22969011999999997
EEF1A2,585.0,0.227657426
AGAP4,209.0,0.22746959839999997
ISY1,512.0,0.2193549331999999
ZNF471,443.0,0.21799730494
NEFH,836.0,0.21003946052
ZNF26,387.0,0.2087907838
STAG3,106.0,0.20591069426000003
VPS35,796.0,0.20523093800000006
CCNT1,184.0,0.19541411999999997
MLYCD,664.0,0.19531279000000001
MLF1,895.0,0.18976537999999998
INVS,79.0,0.18753049140000003
CNOT10,753.0,0.184373206
OR1F1,320.0,0.17801246432
FANCA,898.0,0.17614676
ARG2,435.0,0.17462317
RPP38,116.0,0.173510454
AGRP,657.0,0.17336623
TYMS,147.0,0.17106954000000005
MAD2L1,850.0,0.17014335999999997
COL13A1,773.0,0.1698909562
ZNF33A,397.0,0.168234436
ZNF573,802.0,0.15939828400000006
ZNF514,56.0,0.15836977399999996
SLC6A12,480.0,0.15508407600000002
PPP1R1A,622.0,0.15153468
MSH6,619.0,0.1500289500000002
WEE1,438.0,0.14902304000000005
TMSB4Y,409.0,0.14860152000000004
NRXN2,496.0,0.14831984999999998
TAF11,433.0,0.14560059600000003
NDST2,922.0,0.13953153399999998
RPS5,10.0,0.13716007600000005
CLDN2,257.0,0.12994964799999992
THOC7,88.0,0.12748683600000002
GPR35,63.0,0.12539054859999998
AKR1D1,880.0,0.12404522000000004
ZNF681,536.0,0.11383447100000002
VNN1,543.0,0.11205276599999996
IYD,182.0,0.1103118438
TBL1Y,285.0,0.10946634400000002
ZNF382,749.0,0.10557937000000002
NPAS2,342.0,0.10433685399999997
CASC3,424.0,0.10302749400000004
PTCH1,379.0,0.10239675099999998
GTSE1,529.0,0.10238106999999999
SYT1,532.0,0.10211573400000003
PLAT,756.0,0.09925903200000008
ANO2,630.0,0.08977304
POMGNT2,448.0,0.08694224800000003
PLK4,294.0,0.08503184669999994
DNAH11,515.0,0.08463519399999997
LRP2,137.0,0.07801950400000005
RSL24D1,355.0,0.07781132400000004
PHKA1,868.0,0.07364813400000003
COL14A1,469.0,0.0692860344
RPL23A,890.0,0.06865868199999996
CD70,633.0,0.06732093399999999
HMMR,844.0,0.049716041
SLCO1B1,650.0,0.040806073999999984
TNFRSF17,2.0,0.03563407199999995
NR1H3,310.0,0.035197030000000004
UBE2E2,39.0,0.02833504120000004
UTP6,621.0,0.024618767999999996
TXNRD1,952.0,0.023085667999999938
AP1S3,318.0,0.022025236000000004
ZNF550,351.0,0.005249446800000013
TAF9,275.0,0.0035056060000000057
TOPBP1,494.0,-0.0018500680000000658
HDAC2,638.0,-0.005006819999999967
CDKN2A,35.0,-0.012057130000000083
PPIF,567.0,-0.024870011399999947
MAPKAPK5,191.0,-0.03143540859999997
XPO5,594.0,-0.032592035999999935
TRAF5,339.0,-0.034984959999999975
RANGAP1,150.0,-0.03522950200000004
ZNF792,645.0,-0.036034677000000015
AMOTL2,615.0,-0.04099241999999999
RPP40,483.0,-0.0445576176
PRPF4,132.0,-0.04460371869999993
RPS21,599.0,-0.04920704599999994
KCNJ15,923.0,-0.059130439999999965
ZNF682,958.0,-0.06483975200000003
ZNF814,36.0,-0.06567587199999997
SUPT3H,875.0,-0.07451588599999989
POLA2,155.0,-0.08104794800000004
IAPP,747.0,-0.083662093
NAT8L,731.0,-0.08787113600000004
POLD3,864.0,-0.08841123560000001
RAMP3,519.0,-0.09606427999999997
SEMA4F,68.0,-0.10001126140000001
ZNF354B,813.0,-0.10612399799999998
PRIM1,287.0,-0.10706144399999999
MAPK8IP2,110.0,-0.1081328308
SUMO2,89.0,-0.10901285399999998
FBXO5,145.0,-0.109329823
NLGN4X,303.0,-0.11190974800000013
NR3C1,706.0,-0.11316042200000002
SLC25A17,324.0,-0.11437703539999995
SLC36A4,315.0,-0.1173832792
RAD51C,624.0,-0.12290258200000004
CLCN2,688.0,-0.12494838399999993
ARHGEF4,384.0,-0.12659428959999994
CYP27C1,566.0,-0.128925654
RPS7,910.0,-0.13026281200000006
POLE3,919.0,-0.13745605000000002
MCHR1,974.0,-0.13854289199999997
TJAP1,586.0,-0.138590666
CCNE2,29.0,-0.14457942
ATP6AP2,245.0,-0.14630270400000003
MCM6,346.0,-0.150782166
FEN1,662.0,-0.15268631499999996
ZNF84,556.0,-0.15514310200000003
THOC5,784.0,-0.16604939999999999
IL17RE,284.0,-0.17586730599999995
SLC5A1,943.0,-0.177569458
FABP4,517.0,-0.18132188400000004
ZNF221,464.0,-0.1854875119999999
ZNF30,851.0,-0.18852842320000002
TAF4,548.0,-0.19454365999999998
THBD,271.0,-0.19722264164000003
TFF1,301.0,-0.19766676359999996
ZBP1,954.0,-0.20067944399999993
SSR4,994.0,-0.21266040739999997
MPZ,733.0,-0.21289370800000001
FHIT,930.0,-0.215907866
UBB,927.0,-0.216533506
UBE2L3,278.0,-0.23321055400000001
IPO13,477.0,-0.23976736600000007
PDE9A,52.0,-0.243004728
NAGPA,224.0,-0.24387792199999997
TFPI,576.0,-0.24467289840000003
WIPF3,417.0,-0.248982408
IQGAP3,272.0,-0.25391738999999997
ZNF66,309.0,-0.25451264800000006
TG,80.0,-0.25825894399999993
PRKAR2A,195.0,-0.258998032
GNA14,841.0,-0.26401357040000006
P2RX4,674.0,-0.27099842
ZNF81,431.0,-0.2712601026
GAS1,168.0,-0.27132516400000006
SEMA3B,524.0,-0.273844281
ZNF670,123.0,-0.2807488968
TLR6,441.0,-0.2831636779999999
PTPRJ,521.0,-0.28764189999999995
SFRP4,883.0,-0.2970474046
TSPAN7,148.0,-0.304357914
ENTPD2,561.0,-0.30570538799999997
CCNB1,651.0,-0.3112710560000001
CRTC3,277.0,-0.31466310999999997
RICTOR,31.0,-0.32382521640000006
AGAP3,455.0,-0.325344576
STX6,328.0,-0.32618120399999995
FBL,470.0,-0.3279369296
KPNA5,518.0,-0.345593904
AP1M2,843.0,-0.362076794
FANCD2,202.0,-0.371668586
ACYP1,267.0,-0.37312182000000005
ZFP30,199.0,-0.385644428
ULK1,860.0,-0.3881914199999999
SEMA3A,493.0,-0.4002330258000001
SRSF2,690.0,-0.4022453100000001
RPS16,442.0,-0.4030842026
MATR3,558.0,-0.403768876
ZNF398,112.0,-0.41022127199999997
IPO5,759.0,-0.41179726799999994
ZNF324B,261.0,-0.41208531400000004
PRKCQ,449.0,-0.4135796399999999
RXRG,746.0,-0.4189140479999999
DPYSL2,266.0,-0.419837044
NUP210,648.0,-0.42092484399999996
PIGX,419.0,-0.42681588800000003
FBXO43,939.0,-0.43005666290000005
RIOK1,133.0,-0.43093157160000006
ZNF562,639.0,-0.44081341199999996
SNX5,388.0,-0.445654634
LYPD6B,983.0,-0.4516832288
