genes,Unnamed: 0,values
hsa-mir-483,8.0,3.5077328460000006
hsa-mir-518c,180.0,3.075738406
hsa-mir-186,137.0,2.931386054
hsa-mir-107,106.0,2.75258856
hsa-mir-641,98.0,2.7127639439999998
hsa-mir-217,146.0,2.59955876
hsa-mir-7-1,193.0,2.062574834
hsa-mir-519d,67.0,1.9977587159999999
hsa-mir-767,172.0,1.886696092
hsa-mir-339,97.0,1.8609238043999998
hsa-mir-624,57.0,1.7217138199999997
hsa-mir-520a,95.0,1.6333046799999997
hsa-mir-1224,70.0,1.5609424519999997
hsa-mir-643,156.0,1.521180658
hsa-mir-3653,127.0,1.4131197199999999
hsa-mir-493,102.0,1.40417211
hsa-mir-1295a,147.0,1.369234038
hsa-mir-3615,88.0,1.337372548
hsa-mir-520b,11.0,1.3251956320000002
hsa-mir-376b,170.0,1.273442926
hsa-mir-580,151.0,1.2693925
hsa-mir-3174,100.0,1.259106028
hsa-mir-1914,141.0,1.2500398448
hsa-mir-526b,178.0,1.2067466439999999
hsa-mir-4691,52.0,1.190703034
hsa-mir-628,47.0,1.093745516
hsa-mir-301a,82.0,0.9512436799999999
hsa-mir-548o,148.0,0.9471898839999999
hsa-mir-550a-3,144.0,0.9434319
hsa-mir-3607,176.0,0.908108414
hsa-mir-380,105.0,0.9059490560000001
hsa-mir-488,119.0,0.895728424
hsa-mir-518f,115.0,0.890070536
hsa-mir-4524a,30.0,0.82882394
hsa-mir-4685,107.0,0.825557648
hsa-mir-187,15.0,0.8131674318
hsa-mir-149,0.0,0.7820105399999998
hsa-mir-3619,196.0,0.7756009939999999
hsa-mir-125b-1,51.0,0.765732932
hsa-mir-548k,31.0,0.72054055
hsa-mir-214,164.0,0.7011976099999999
hsa-mir-216a,61.0,0.6961065900000001
hsa-mir-378i,58.0,0.68570725
hsa-mir-193a,9.0,0.654146868
hsa-mir-25,4.0,0.6415548
hsa-mir-190b,27.0,0.639669622
hsa-mir-3074,126.0,0.622625794
hsa-mir-1303,72.0,0.617456832
hsa-mir-3144,143.0,0.607042396
hsa-mir-3064,59.0,0.5890181779999999
hsa-mir-2115,109.0,0.57833604
hsa-mir-4791,63.0,0.56631873
hsa-mir-3923,122.0,0.5408570760000001
hsa-mir-942,199.0,0.5081624199999998
hsa-mir-150,103.0,0.5048216120000001
hsa-mir-296,168.0,0.5028165379999999
hsa-mir-490,56.0,0.49202389599999996
hsa-mir-525,20.0,0.488470286
hsa-mir-3681,191.0,0.47296887100000007
hsa-mir-135b,132.0,0.4584198879999999
hsa-mir-548e,142.0,0.434538708
hsa-mir-3177,76.0,0.4068297
hsa-mir-3609,158.0,0.38809986400000007
hsa-mir-204,35.0,0.37621698400000003
hsa-mir-504,29.0,0.374250508
hsa-mir-621,169.0,0.30947455799999996
hsa-mir-495,7.0,0.29494692
hsa-mir-4772,68.0,0.279814922
hsa-mir-627,110.0,0.27273490999999994
hsa-mir-582,62.0,0.24908702000000002
hsa-mir-585,167.0,0.24193582300000002
hsa-mir-658,2.0,0.2393063238
hsa-mir-527,73.0,0.23550993480000004
hsa-mir-33a,46.0,0.22846181199999993
hsa-mir-377,28.0,0.19847937199999996
hsa-mir-1266,17.0,0.18624531560000002
hsa-mir-1256,116.0,0.16603624086
hsa-mir-520c,153.0,0.15127006999999987
hsa-mir-2116,37.0,0.13488997200000002
hsa-mir-590,45.0,0.1331097279999999
hsa-mir-518e,139.0,0.11843996139999999
hsa-mir-454,125.0,0.10378312600000003
hsa-mir-23a,198.0,0.10034352000000002
hsa-mir-3677,24.0,0.08100817739999999
hsa-mir-887,3.0,0.07830396999999995
hsa-mir-551b,13.0,0.07441889099999997
hsa-mir-4484,101.0,0.074294058
hsa-mir-1269b,154.0,0.0692756112
hsa-mir-1277,89.0,0.06690446059999995
hsa-mir-769,181.0,0.06632281999999998
hsa-mir-4632,69.0,0.0497410624
hsa-mir-1249,87.0,0.04555477200000001
hsa-mir-136,71.0,0.04003823999999993
hsa-mir-3150a,197.0,0.039432070599999994
hsa-mir-5699,86.0,0.03338779599999999
hsa-mir-3140,134.0,0.02666826599999996
hsa-mir-3138,23.0,0.023433012399999998
hsa-mir-3192,161.0,0.019284562400000003
hsa-mir-4766,49.0,0.014889453999999924
hsa-mir-423,175.0,-0.0006676899999999541
hsa-mir-3682,81.0,-0.002541546000000041
hsa-let-7d,40.0,-0.005472359999999998
hsa-mir-3622a,1.0,-0.014951753599999998
hsa-mir-520g,131.0,-0.026416605400000005
hsa-mir-1271,174.0,-0.02949171200000007
hsa-mir-4491,42.0,-0.029839609999999996
hsa-mir-4286,157.0,-0.04022162999999997
hsa-mir-4746,160.0,-0.06439262000000001
hsa-mir-891a,183.0,-0.06665134519999995
hsa-mir-1276,111.0,-0.06681857800000002
hsa-mir-4745,53.0,-0.07269592399999998
hsa-mir-3127,22.0,-0.07385867399999999
hsa-mir-5090,32.0,-0.089795
hsa-mir-522,94.0,-0.09277878000000017
hsa-mir-765,74.0,-0.124553672
hsa-mir-3909,121.0,-0.12562697999999997
hsa-mir-2114,96.0,-0.12717570119999996
hsa-mir-1292,43.0,-0.13496867999999998
hsa-mir-573,162.0,-0.1411019720000001
hsa-mir-206,150.0,-0.14427707799999995
hsa-mir-4707,138.0,-0.1511070212
hsa-mir-519c,93.0,-0.157854034
hsa-mir-629,179.0,-0.18323731199999999
hsa-mir-548s,16.0,-0.18353214399999998
hsa-mir-552,6.0,-0.19459244199999998
hsa-mir-326,79.0,-0.19493492799999995
hsa-mir-3679,135.0,-0.220313368
hsa-mir-1306,36.0,-0.23190764000000003
hsa-mir-18a,44.0,-0.23410358000000003
hsa-mir-1537,26.0,-0.249982663
hsa-mir-4705,5.0,-0.25199395999999996
hsa-mir-4676,64.0,-0.252352205
hsa-mir-1296,124.0,-0.25291441788
hsa-mir-1247,91.0,-0.25564353500000003
hsa-mir-548y,152.0,-0.275330454
