,genes,values
0,SIRT7,-1.2548196
1,ME1,6.1039248
2,TNFRSF17,2.4000783
3,TGFA,-4.887351
4,SNRPD3,0.4412275
5,UTS2B,-0.24253997
6,PIGA,0.3090306
7,IFNG,-12.508372
8,IL18RAP,-0.96471876
9,TRIM37,-2.4066124
10,RPS5,0.12044959
11,ZNF224,3.248328
12,ME2,-0.733054
13,GLCE,-2.0803418
14,TLE3,-1.2171345
15,CDC25C,1.9447572
16,SDHB,2.3321736
17,SFN,1.7078174
18,SRSF7,-2.1201522
19,THEM4,-0.038581196
20,DTYMK,-0.69420755
21,P2RY2,-2.6485033
22,PLCH2,-0.6956288
23,ZNF836,-3.7928047
24,ZNF354A,-5.151072
25,SMURF2,-1.0799979
26,SNAP29,-0.8490926
27,SUMO1,-0.040660378
28,IL7R,-2.1427147
29,CCNE2,3.2585492
30,PRH1,0.5093297
31,RICTOR,0.3888795
32,NT5C3A,0.5486606
33,CST5,0.2925619
34,BRAP,0.20279409
35,CDKN2A,0.5392027
36,ZNF814,-1.3874824
37,P2RX7,-0.86178225
38,RAD51,1.3210086
39,UBE2E2,-1.3566705
40,RAD54L,-0.10619566
41,ZNF200,5.6391997
42,ZNF248,1.0350125
43,ZNF746,-4.85996
44,PER2,-4.4129057
45,CYP39A1,1.5810506
46,RPL36A,-1.1607046
47,CYBA,1.6209443
48,TFAP4,-1.232813
49,PCNA,1.309352
50,IPO11,-0.31737858
51,CHEK1,-2.1742873
52,PDE9A,-0.11649952
53,RBMX,-1.1376355
54,CAMK1G,-0.7759017
55,NAT10,0.40790418
56,ZNF514,0.3487828
57,COL5A3,-0.13267228
58,COL9A2,-5.587103
59,SFRP2,0.06463385
60,TAT,0.40042093
61,UCK2,1.4755555
62,INPP4A,2.859462
63,GPR35,-0.037794437
64,PPBP,3.1264415
65,TXN,-0.7032992
66,PAFAH1B3,1.4516828
67,MYO1A,-0.045450892
68,SEMA4F,-0.5777631
69,SNRPA,-0.13509092
70,SMC1B,0.31838498
71,CDKN2C,3.630535
72,UGGT1,-0.22735183
73,BMP5,-0.2656892
74,CYP26A1,-0.77109855
75,IL27RA,1.466316
76,ATP6V0A2,-5.316163
77,ZNF829,-3.414155
78,LYPD6,-0.1911078
79,INVS,0.056032747
80,TG,-0.76231164
81,RPL10,2.2730439
82,POLE2,0.019941125
83,ZNF878,1.0928084
84,ZNF566,4.575264
85,PLK1,1.4040451
86,CDC20,0.12068146
87,NTRK2,1.128656
88,THOC7,-0.48181877
89,SUMO2,0.6597224
90,STX19,0.8673215
91,FLT3,-5.693541
92,CUL2,-0.021408368
93,CAB39L,-2.0164275
94,ONECUT1,0.3028944
95,MED24,0.18406071
96,CPS1,-3.342245
97,RAP1GAP,0.73048025
98,RUFY2,0.58292764
99,FANCE,0.6570446
100,PLCB1,-5.692202
101,KCNJ11,0.9275398
102,CYP3A7,1.1198009
103,CDC25B,3.652351
104,MUC5B,0.31703958
105,FLNC,-1.517785
106,STAG3,0.0041845413
107,LSM5,3.5061326
108,B3GNT5,-1.1151444
109,F2RL3,3.2070072
110,MAPK8IP2,-0.35084677
111,RMI1,0.31704387
112,ZNF398,-3.661289
113,QDPR,1.2546724
114,PSMD1,4.8114834
115,RPL37,-1.7717429
116,RPP38,-0.39720887
117,CLDN9,-2.83868
118,TLR1,-0.004248233
119,GCNT4,-0.7669306
120,ZNF529,3.0718975
121,RMI2,-1.1603562
122,RBM28,0.010379942
123,ZNF670,-1.7997626
124,CYP2C19,-4.176179
125,DBF4B,-1.2164876
126,ACSL6,-1.0043943
127,ACE2,-0.5686089
128,POU2F1,5.1104
129,CALML6,1.432991
130,SMC1A,-0.46190757
131,EFCAB7,0.043663196
132,PRPF4,0.0095558865
133,RIOK1,0.09738751
134,BRCA2,0.65156233
135,UBOX5,1.6536149
136,CDK5R1,-1.2432222
137,LRP2,-0.5680008
138,ABCB6,0.7005804
139,PTGER1,-2.0459092
140,CDK7,2.2224898
141,UGT2B17,-1.4748608
142,B4GALT3,-1.0822738
143,BARD1,-1.1865743
144,ASRGL1,-0.4408712
145,FBXO5,-0.025686905
146,LRTOMT,3.618441
147,TYMS,1.2629205
148,TSPAN7,-2.8004692
149,MAPK8IP3,-0.29427835
150,RANGAP1,-0.63241434
151,IL12A,4.50167
152,ADRA1D,3.9734204
153,WIPF2,-1.8777937
154,PDE10A,-1.4657314
155,POLA2,-0.3222687
156,OTX1,1.2534668
157,SSR2,0.4975068
158,TNXB,-2.4503858
159,ELOVL4,-4.8046117
160,ACER3,-2.9011948
161,TAF3,-1.9237716
162,SPOP,0.20759234
163,G6PD,-6.74495
164,STAM,-1.2961152
165,HLA-G,5.255256
166,RPL23,-1.2600526
167,IL33,2.8401856
168,GAS1,0.21279515
169,CCL22,0.9151778
170,XPA,-0.12266429
171,VEGFA,2.1036541
172,NCBP1,3.3477237
173,ARSG,0.5782129
174,PAK1,3.6431866
175,IQCE,0.4619484
176,RFC2,1.0940552
177,PLXNB3,0.42569506
178,NFKB2,-0.9189335
179,ZNF785,-1.6836753
180,PPP2R5D,0.5111611
181,SPP1,-9.490988
182,IYD,-0.4118155
183,DNA2,0.51268804
184,CCNT1,-1.3015805
185,CBS,-0.77642083
186,FANCB,-0.5697572
187,ATP1A2,-7.990828
188,VPS26A,-2.4434814
189,BAG2,-0.5099697
190,FNIP2,-0.2369202
191,MAPKAPK5,-0.64919186
192,CYB5RL,0.52189004
193,ZNF783,-3.5648632
194,BIRC5,-0.36343062
195,PRKAR2A,-2.7529602
196,CDC6,0.6003342
197,GNA13,2.6284513
198,PVR,4.452197
199,ZFP30,0.12686566
200,RPL38,-2.496529
201,ZNF764,1.096229
202,FANCD2,0.6941619
203,IHH,1.0819712
204,CCNA2,-4.002114
205,KPNB1,0.35457918
206,IL1RL2,0.501427
207,POLR2J3,0.9233504
208,PRF1,3.640144
209,AGAP4,2.1932375
210,ZNF83,-3.0243294
211,NUP85,0.9956903
212,GSTA4,0.41755632
213,EXOSC2,4.3341575
214,ZNF234,1.9436399
215,ASIC5,0.053756025
216,CDC27,-0.71839774
217,RPS24,1.6388088
218,RAN,0.83583695
219,MAP3K3,-0.67076886
220,ABCA4,-0.5172854
221,ZNF527,5.568453
222,RIPK3,1.5266293
223,PIK3C2G,2.5962167
224,NAGPA,-0.23333704
225,MASP2,0.0938454
226,CA9,-0.41060472
227,HSD11B2,1.0405772
228,CTSW,2.666988
229,COMP,-0.8247324
230,PTGER2,-0.42690876
231,PLN,0.41616458
232,BCL2L11,1.4101292
233,SELP,3.834578
234,MTMR14,-2.5133944
235,APLN,-0.43716457
236,ACADVL,0.56258494
237,ADORA2A,0.85921234
238,CAMKK2,4.0320387
239,CASP12,-1.6865435
240,GGT5,-0.19214576
241,STIM2,1.1153187
242,PIGC,-0.40205637
243,SLC44A5,0.41580632
244,NR4A3,-3.0601506
245,ATP6AP2,0.13013862
246,SNRPB,0.19861008
247,PHKA2,-0.85424536
248,UBE2E1,-0.30807114
249,PTTG1,1.1527269
250,C7,2.2442746
251,OPRL1,-0.2966672
252,GGT6,5.094614
253,FANCG,0.3197051
254,GPAT2,-0.7991174
255,PINK1,-0.45997012
256,PIP5KL1,3.222518
257,CLDN2,3.3709757
258,NEIL3,-1.6425
259,DIS3L,0.46731573
260,RPLP1,-0.58271533
261,ZNF324B,-3.8392847
262,ZNF570,-5.0199833
263,PGAP1,1.8667473
264,GCLM,-0.343696
265,ALDH4A1,-1.4529433
266,DPYSL2,0.36545897
267,ACYP1,-1.5024462
268,GSTM5,-0.41620323
269,DNAJC1,0.1806626
270,ELN,0.3509214
271,THBD,-0.0035936632
272,IQGAP3,1.115884
273,DSG2,1.0256569
274,CCNT2,0.98110366
275,TAF9,0.9316025
276,SLC9A3,-1.4424402
277,CRTC3,1.3016113
278,UBE2L3,-1.7442688
279,ZNF440,1.3612733
280,RGCC,0.69675744
281,TUBA3C,-0.12651601
282,ZNF544,5.9725475
283,MAP4K1,0.81143105
284,IL17RE,0.3534602
285,TBL1Y,0.15933582
286,GDPD1,-1.352858
287,PRIM1,-1.0854411
288,DBF4,-0.3588951
289,PIGM,1.6991236
290,NUP62,0.5874499
291,NUP155,-0.23379965
292,CDK1,-1.4757715
293,ADM,1.5403049
294,PLK4,-0.0076200715
295,TUBA3D,-2.6880414
296,CXXC4,-0.09714671
297,ZNF85,4.5442905
298,RRAS2,-2.260335
299,KIF3A,0.11444414
300,KDELR3,-4.081046
301,TFF1,-2.3475127
302,DNM1,-0.39487407
303,NLGN4X,4.023699
304,GRPR,-0.1140777
305,POU2F3,-4.1556587
306,SRD5A3,0.18370748
307,ATG12,-1.9168147
308,ZNF583,4.9496546
309,ZNF66,-2.2899036
310,NR1H3,0.04022021
311,UBE2T,1.189306
312,XRCC2,-2.4573128
313,C9,-1.9291667
314,DHRS3,1.9336216
315,SLC36A4,-0.17529136
316,ZNF568,3.0490696
317,PIDD1,0.08636305
318,AP1S3,0.08595395
319,CASP2,-0.88710284
320,OR1F1,0.0029141516
321,ZNF569,4.797341
322,CNTFR,-5.3874145
323,PTGS1,5.9761333
324,SLC25A17,-0.3208845
325,KIF7,-1.574185
326,COL8A1,-0.30248263
327,ZNF222,1.9793216
328,STX6,-0.6391969
329,RBM17,-0.010947947
330,THOC2,-1.4387906
331,CCL8,2.718463
332,LCAT,0.3576295
333,CD2AP,2.3667884
334,DHH,0.26562944
335,SRR,-2.0907445
336,DYNC1LI1,-0.16799691
337,NDC1,0.52327687
338,AURKA,1.6001796
339,TRAF5,-6.9826756
340,ITGB3,-8.768747
341,POLA1,-1.0332371
342,NPAS2,0.46774313
343,CERS6,1.9492964
344,ZNF782,-0.28828093
345,PF4,-2.5947685
346,MCM6,-0.08695239
347,LUM,-0.79087436
348,ALG10B,-0.5504561
349,AXIN1,-3.4276307
350,AGPAT5,1.9690162
351,ZNF550,0.8524928
352,ARSB,3.7537494
353,STRADB,5.478602
354,CFHR3,-0.0033759295
355,RSL24D1,-0.94411165
356,TRAM1L1,0.15553142
357,SEPHS1,0.44623837
358,CCL18,1.5905819
359,PDE6C,0.5313796
360,UTP18,-0.14802776
361,PRCC,3.325277
362,IL13RA2,0.09390867
363,YOD1,0.24353765
364,RAPGEF3,5.5214562
365,PNMT,-0.114246145
366,CXCL14,2.9264543
367,POLR3F,-3.2632418
368,HERPUD1,0.54603034
369,ETV4,1.2366921
370,NPFFR2,-0.04131887
371,SP1,-2.5153627
372,GGA3,-1.0337305
373,CPSF4L,-3.2615051
374,TNFRSF19,2.5177414
375,NRG2,-2.531815
376,NXT1,3.390881
377,SRSF3,-5.553167
378,SLC22A5,0.15843342
379,PTCH1,0.3432063
380,ZNF589,-3.923178
381,UST,0.020020183
382,ENTPD8,-1.6035933
383,UBE2O,1.0848511
384,ARHGEF4,1.0237662
385,NTF3,6.791537
386,FYN,0.8252275
387,ZNF26,-0.24795645
388,SNX5,-0.6998913
389,SULT1A2,0.007954149
390,LIG1,-0.009298927
391,MRPL17,0.18444024
392,WDR43,-0.058790393
393,CDKN2D,0.8690644
394,ATIC,-0.44845274
395,SLC26A3,0.2548555
396,PIP4K2B,-1.7130494
397,ZNF33A,1.5226121
398,TALDO1,-0.60516274
399,EZH1,-1.1332726
400,SARS2,0.55984956
401,HAO2,6.2554426
402,CYP2E1,-5.3829
403,RPS15A,-2.520132
404,SELE,-2.7498481
405,WNT3,-3.0931475
406,GSK3A,-0.7504535
407,ZNF383,5.424086
408,CARD14,1.0464674
409,TMSB4Y,2.509358
410,FANCM,-0.8834229
411,CTNNA2,0.5936593
412,UGCG,-1.5250293
