,genes,values
0,hsa-mir-149,1.6908138
1,hsa-mir-3622a,-0.41730222
2,hsa-mir-658,0.013083665
3,hsa-mir-887,-0.6122381
4,hsa-mir-25,2.9831138
5,hsa-mir-4705,0.46303928
6,hsa-mir-552,0.7063628
7,hsa-mir-495,1.6464918
8,hsa-mir-483,1.0108927
9,hsa-mir-193a,0.5826649
10,hsa-mir-211,-1.4063767
11,hsa-mir-520b,0.89979756
12,hsa-mir-3928,-1.0581245
13,hsa-mir-551b,-1.3885453
14,hsa-mir-1179,0.22083163
15,hsa-mir-187,0.68013877
16,hsa-mir-548s,-0.90091693
17,hsa-mir-1266,0.6535803
18,hsa-mir-3614,-0.8787198
19,hsa-mir-607,1.4491727
20,hsa-mir-525,0.35298747
21,hsa-mir-7-2,-0.37263182
22,hsa-mir-3127,0.16406545
23,hsa-mir-3138,-0.64778924
24,hsa-mir-3677,0.029648574
25,hsa-mir-23c,-0.37651289
26,hsa-mir-1537,0.21971127
27,hsa-mir-190b,0.90217
28,hsa-mir-377,0.57095486
29,hsa-mir-504,-0.7663635
30,hsa-mir-4524a,0.2765617
31,hsa-mir-548k,-2.4675782
32,hsa-mir-5090,-0.3196331
33,hsa-mir-33b,-6.1955614
34,hsa-mir-548au,-0.20670253
35,hsa-mir-204,-1.6453539
36,hsa-mir-1306,-1.6778605
37,hsa-mir-2116,0.4957705
38,hsa-mir-520e,0.34660286
39,hsa-mir-3934,-0.38088173
40,hsa-let-7d,0.4197444
41,hsa-mir-491,-1.0314537
42,hsa-mir-4491,-0.13176319
43,hsa-mir-1292,1.6749715
44,hsa-mir-18a,-1.5699109
45,hsa-mir-590,7.083507
46,hsa-mir-33a,-3.8266509
47,hsa-mir-628,5.0574517
48,hsa-let-7g,2.6816425
49,hsa-mir-4766,-0.98636675
50,hsa-mir-373,1.5719985
51,hsa-mir-125b-1,1.1565634
52,hsa-mir-4691,3.1315162
53,hsa-mir-4745,0.5396788
54,hsa-mir-22,-2.7855618
55,hsa-mir-3611,-2.3322287
56,hsa-mir-490,2.503172
57,hsa-mir-624,4.57891
58,hsa-mir-378i,-1.6162667
59,hsa-mir-3064,3.0165732
60,hsa-mir-197,-6.7576528
61,hsa-mir-216a,-0.02391877
62,hsa-mir-582,3.1247725
63,hsa-mir-4791,0.6483567
64,hsa-mir-4676,0.46618074
65,hsa-mir-518b,0.2279071
66,hsa-mir-636,-0.85352
67,hsa-mir-519d,2.7304573
68,hsa-mir-4772,-0.12962908
69,hsa-mir-4632,-0.009853471
70,hsa-mir-1224,-3.6518261
71,hsa-mir-136,1.4940342
72,hsa-mir-1303,-0.4988473
73,hsa-mir-527,0.5071074
74,hsa-mir-765,-0.3605603
75,hsa-mir-3691,0.3741563
76,hsa-mir-3177,-1.1159059
77,hsa-mir-1915,-0.14918526
78,hsa-mir-4473,-2.3842123
79,hsa-mir-326,-0.6320395
80,hsa-mir-3176,2.6567757
81,hsa-mir-3682,-0.25932357
82,hsa-mir-301a,-0.6268394
83,hsa-mir-548b,-1.5991836
84,hsa-mir-802,1.2119619
85,hsa-mir-579,-1.0178182
86,hsa-mir-5699,-0.54979545
87,hsa-mir-1249,-0.65629214
88,hsa-mir-3615,0.2921284
89,hsa-mir-1277,0.8454821
90,hsa-mir-190a,2.0740635
91,hsa-mir-1247,-0.48184642
92,hsa-mir-520d,-1.3338574
93,hsa-mir-519c,-0.7129408
94,hsa-mir-522,3.4327564
95,hsa-mir-520a,2.00095
96,hsa-mir-2114,0.021247054
97,hsa-mir-339,2.6963396
98,hsa-mir-641,2.8084621
99,hsa-mir-106a,-0.99100935
100,hsa-mir-3174,-1.2843758
101,hsa-mir-4484,0.95920753
102,hsa-mir-493,-2.9740117
103,hsa-mir-150,-1.4311966
104,hsa-mir-139,-0.20962907
105,hsa-mir-380,1.9539369
106,hsa-mir-107,4.7517295
107,hsa-mir-4685,0.4065458
108,hsa-mir-154,-2.4799209
109,hsa-mir-2115,0.38074946
110,hsa-mir-627,3.9914753
111,hsa-mir-1276,-0.32587782
112,hsa-mir-589,-4.6497855
113,hsa-mir-5586,-0.42858517
114,hsa-mir-3651,-0.40149763
115,hsa-mir-518f,-2.0411174
116,hsa-mir-1256,0.0045832843
117,hsa-mir-4733,-2.1062226
118,hsa-mir-597,-1.2440723
119,hsa-mir-488,-0.20565188
120,hsa-mir-561,-3.4295409
121,hsa-mir-3909,-0.8453479
122,hsa-mir-3923,1.1013075
123,hsa-mir-4677,0.65545565
124,hsa-mir-1296,-3.0697036
125,hsa-mir-454,-2.3174703
126,hsa-mir-3074,-0.7514613
127,hsa-mir-3653,1.595939
128,hsa-mir-508,1.10488
129,hsa-mir-642a,-2.5674288
130,hsa-mir-3662,-2.5236018
131,hsa-mir-520g,-0.021361252
132,hsa-mir-135b,3.8413193
133,hsa-mir-3187,3.6518579
134,hsa-mir-3140,-2.9827645
135,hsa-mir-3679,1.0295665
136,hsa-mir-520f,0.22421393
137,hsa-mir-186,2.6624537
138,hsa-mir-4707,-0.21266095
139,hsa-mir-518e,-0.030647943
140,hsa-mir-632,-0.3093753
141,hsa-mir-1914,0.090130374
142,hsa-mir-548e,0.4746335
143,hsa-mir-3144,0.52458805
144,hsa-mir-550a-3,0.949539
145,hsa-mir-98,-3.5749493
146,hsa-mir-217,2.431333
147,hsa-mir-1295a,0.23491955
148,hsa-mir-548o,1.3461508
149,hsa-mir-3940,-0.8408723
150,hsa-mir-206,-0.54583657
151,hsa-mir-580,3.1501162
152,hsa-mir-548y,-2.39438
153,hsa-mir-520c,-2.9391916
154,hsa-mir-1269b,-0.010475748
155,hsa-mir-216b,0.3158027
156,hsa-mir-643,0.79723454
157,hsa-mir-4286,-0.5560231
158,hsa-mir-3609,3.2610703
159,hsa-mir-4443,-1.2592242
160,hsa-mir-4746,-0.10124579
161,hsa-mir-3192,0.12888612
162,hsa-mir-573,-0.91759086
163,hsa-mir-106b,1.7276584
164,hsa-mir-214,0.06755874
165,hsa-mir-4326,0.29442877
166,hsa-mir-210,-1.9594786
167,hsa-mir-585,-1.0363839
168,hsa-mir-296,4.151914
169,hsa-mir-621,-0.38588828
170,hsa-mir-376b,3.3636045
171,hsa-mir-940,-3.5936673
172,hsa-mir-767,0.19538024
173,hsa-mir-485,0.6516147
174,hsa-mir-1271,2.1567361
175,hsa-mir-423,-1.4345914
176,hsa-mir-3607,2.663092
177,hsa-mir-205,-6.8089886
178,hsa-mir-526b,2.1398053
179,hsa-mir-629,-1.1822363
180,hsa-mir-518c,2.1880925
181,hsa-mir-769,-4.9426327
182,hsa-mir-3667,-0.003781682
183,hsa-mir-891a,-1.0588869
184,hsa-mir-184,1.3151867
185,hsa-mir-331,-3.2719154
186,hsa-mir-5690,-2.200462
187,hsa-mir-432,-1.4869165
188,hsa-mir-520h,1.7338644
189,hsa-mir-199b,1.1727374
190,hsa-mir-4802,-1.5214761
191,hsa-mir-3681,2.1918216
192,hsa-mir-346,0.32457456
193,hsa-mir-7-1,-1.4670084
194,hsa-mir-570,-2.0741203
195,hsa-mir-15b,0.9653421
196,hsa-mir-3619,0.7808379
197,hsa-mir-3150a,-0.1473048
198,hsa-mir-23a,2.483794
199,hsa-mir-942,-1.5890936
