,genes,values
0,MMP2,-3.4983268
1,AP3S1,-1.1613592
2,IFNG,-3.7689507
3,NOS2,-3.8625255
4,MOCS3,1.4836714
5,ZNF224,1.364329
6,HPGD,8.762799
7,NFATC1,12.99226
8,ACTN3,-1.2987481
9,PIKFYVE,-4.776019
10,RNF31,1.1725135
11,UBE3C,0.7936957
12,EPS15,-0.8453039
13,ZNF257,0.8263297
14,ATG2A,-0.09333602
15,OR5K4,2.0550942
16,DUSP8,-1.9611908
17,PLCH2,-2.1515272
18,TNFRSF11A,-7.85905
19,TAOK2,-6.5990252
20,EPHA4,-2.2446933
21,PRKAB2,13.365595
22,ACAD8,-0.3718921
23,ASAP2,8.227277
24,CD27,6.8560224
25,DOCK4,1.7172346
26,MLH3,-2.066157
27,SLC45A3,6.302374
28,MTMR2,5.6478415
29,PRPF40A,0.3624187
30,SH3GL3,-0.16649729
31,OR5K1,-3.738065
32,BDH1,4.823586
33,DES,-3.0918145
34,OR5B17,-6.4763904
35,GRIA1,-0.88056767
36,KCNQ4,-0.20278388
37,ZNF814,2.5366883
38,CYP1A1,0.8088394
39,ZNF746,1.4480033
40,FLT1,-4.4867954
41,HSPG2,4.257628
42,IL20RA,-8.54231
43,CHRM3,4.950188
44,CYP39A1,0.6649198
45,OR14A16,6.276105
46,HRH3,0.10461057
47,IL6R,7.1035743
48,PGK2,1.8068181
49,PSMF1,-1.657936
50,ZNF484,1.2902632
51,CHEK1,1.6832944
52,PGM3,3.4066288
53,OR8I2,3.506743
54,OR10C1,-2.3617866
55,RBMX,1.1179322
56,CAMK1G,-0.66483307
57,SCN2A,-0.81653345
58,GAST,3.3789473
59,MLLT3,5.373397
60,SLC17A6,-4.97981
61,SH3GL1,0.48536757
62,HERC4,-0.7272872
63,VCAN,4.590225
64,CDKN1B,9.309535
65,OR5L2,-5.206757
66,NDUFA10,-1.9788145
67,SH2B3,-7.3026395
68,CNGA4,10.240923
69,HAAO,-2.2972283
70,GNB4,-1.7436348
71,PABPC1L2B,-4.5249944
